,term,entity_id,text_1,text_2,text_3,text_4,text_5
272,gaye,Q7846428,Trouble Man,,single van Marvin Gaye,['single'],[]
273,gaye,Q7627350,Stubborn Kind of Fellow,,single van Marvin Gaye,['single'],[]
274,gaye,Q21493825,Gaye,,['achternaam'],['familienaam'],[]
275,gaye,Q696898,Gaye Bykers on Acid,,['muziekgroep uit Verenigd Koninkrijk'],['muziekgroep'],[]
276,gaye,Q4763128,Anger,,single van Marvin Gaye,['single'],[]
277,gaye,Q55348304,Marvin Gaye Chetwynd,,['tentoonstelling'],['tijdelijke tentoonstelling'],[]
278,gaye,Q110350308,,,"begraafplaats in Gaye, Frankrijk",['begraafplaats'],[]
279,gayer,Q108440345,Gayer,,['voornaam'],['voornaam'],[]
280,gayer,Q5528757,Gayer,,['achternaam'],['familienaam'],[]
281,gayer,Q2190649,Gayer-Anderson Museum,,['museum in Egypte'],['museum'],[]
282,gayer,Q129260,Gayer-Anderson cat,,,['sculptuur'],[]
283,gayer,Q6235013,John Gayer,,['Wikimedia-doorverwijspagina'],['Wikimedia-doorverwijspagina voor een persoonsnaam'],[]
284,gayer,Q79408924,Gayer Gari Daspara SSK,,,"['basisschool', 'rurale school']",[]
285,gayer,Q2772538,Gayer,,['motorfietsmerk uit Oostenrijk'],['historische motorfietsfabrikant'],[]
286,gays,Q59465378,,,"uitgave van Families We Choose: Lesbians, Gays, Kinship","['editie, versie of vertaling']",[]
287,gays,Q5439956,"Federación Estatal de Lesbianas, Gays, Transexuales y Bisexuales",,,"['belangenorganisatie', 'niet-gouvernementele organisatie', 'koepelorganisatie']",[]
288,gays,Q49031227,Gays Hill,,['berg in Verenigde Staten van Amerika'],['berg'],[]
289,gays,Q49012865,Bill Gays Butte,,['berg in Verenigde Staten van Amerika'],['berg'],[]
290,gays,Q3026736,Dictionnaire des cultures gays et lesbiennes,,['boek van writers collective'],['geschreven werk'],[]
291,gays,Q49687455,Gays Mills Ridge,,"['heuvel in Crawford County, Verenigde Staten van Amerika']",['heuvel'],[]
292,gays,Q5528916,Gays River,,['nederzetting in Canada'],"['woonplaats', 'watergang']",[]
293,gays,Q287284,"Associação Brasileira de Gays, Lésbicas, Bissexuais, Travestis e Transexuais",,,['koepelorganisatie'],[]
294,gays,Q2685955,Gays Mills,,['plaats in Wisconsin'],['village in Wisconsin'],[]
295,gays,Q2671174,Gays,,['zakaria Mohafid'],['village'],[]
296,gehandicapte,Q90665701,Wet zorg en dwang,"['Wet zorg en dwang psychogeriatrische en verstandelijk gehandicapte cliënten', 'Wzd']",['wetgeving rondom gedwongen zorg in de ouderenzorg en zorg voor mensen met een verstandelijke beperking'],['Nederlandse wet'],[]
297,gehandicapte,Q183560,Verstandelijke beperking,"['Zwakzinnigheid', 'Verstandelijk gehandicapte', 'Retardatie', 'mentale handicap', 'verstandelijke handicap', 'verstandelijk gehandicapt', 'zwakzinnig', 'idioot', 'mentale retardatie']",['ontwikkelingsstoornis in de verstandelijke vermogens'],['klasse van een ziekte'],"['specifieke ontwikkelingsstoornis', 'handicap']"
298,gehandicapte,Q15978181,gehandicapte,"['gehandicapt persoon', 'invalide', 'persoon met een beperking', 'gehandicapte persoon', 'persoon met een handicap']",,[],['persoon']
300,gehandicapte,Q3292743,Nederlandse Stichting voor het Gehandicapte Kind,,['Nederlandse organisatie'],['organisatie'],[]
301,gehandicapte,Q1153025,rolstoeltennis,,tennisvariant voor gehandicapte sporters,['Paralympische sport'],"['rolstoelsport', 'tennis']"
302,gehandicapte,Q2078744,Gehandicapte sporter van het jaar,['Gehandicapte sporter van het jaar (Nederland)'],['Nederland'],['onderscheiding'],[]
304,gehandicapte,Q4308422,Jolanda Venema,,gehandicapte vrouw in de media,['mens'],[]
305,gehandicapte,Q104662543,"Archiefbestanddeel uit het archief van Joseph-Louis Stynen, ref. BE/653717/0008-JLS/0181",,Projectdossier over een schoolcomplex voor gehandicapte kinderen in Heist-op-den-Berg (Kastanjedreef),"['collectie', 'archief']",[]
306,gehandicapten,Q29584864,Maatschappelijke dienstverlening zonder huisvesting voor ouderen en lichamelijk gehandicapten,,['economische activiteit'],['economische activiteit'],['Maatschappelijke dienstverlening zonder huisvesting']
307,gehandicapten,Q2380034,Wet voorzieningen gehandicapten,,['wet'],['wet'],[]
308,gehandicapten,Q2523708,Wet tegemoetkoming chronisch zieken en gehandicapten,,['wet'],['wet'],[]
309,gehandicapten,Q2423714,CG-Raad,['Chronisch zieken en Gehandicapten Raad Nederland'],,['koepelorganisatie'],[]
310,gehandicapten,Q61857538,activist voor rechten van gehandicapten,,,['bezigheid'],['mensenrechtenverdediger']
