,term,URI,aat_bow,cs_scopeNote_tfidf
141,indians,300249541,"['oregon', 'style', 'indian', 'culture', 'washington', 'inhabiting', 'america', 'group', 'state', 'part', 'north', 'wallawalla', 'american', 'walla']",0.852
142,indians,300380374,"['style', 'indian', 'recognized', 'culture', 'speaking', 'paramountcy', 'algonquian', 'virginia', 'powhatan', 'federally', 'pamunkey', 'tribe']",0.899
143,indians,300017650,"['style', 'indian', 'respectively', 'yankton', 'culture', 'nakota', 'siouan', 'calling', 'abbreviation', 'teton', 'nadouessioux', 'santee', 'sioux', 'dakota']",0.865
144,indians,300017616,"['cape', 'wakashan', 'nuu', 'style', 'nutka', 'culture', 'chah', 'nootka', 'kwakiutl', 'flattery', 'vancouver', 'makah', 'aht', 'ditidaht', 'nulth']",0.634
145,indians,300438502,"['style', 'indian', 'prior', 'culture', 'sappony', 'siouan', 'moved', 'virginia', 'piedmont', 'contact', 'carolina', 'north', 'ridge']",0.735
146,indians,300251739,"['traded', 'indian', 'aztecan', 'uto', 'owen', 'numic', 'eastern', 'mono', 'neighbor', 'crest', 'paiute']",0.684
147,indians,300251739,"['traded', 'indian', 'aztecan', 'uto', 'owen', 'numic', 'eastern', 'mono', 'neighbor', 'crest', 'paiute']",0.684
148,indians,300240210,"['appliqué', 'cuna', 'blouse', 'woman', 'back', 'applied', 'multilayered', 'colorful', 'mola', 'panel', 'front']",0.564
149,indians,300017631,"['kitksan', 'style', 'culture', 'tsimshian', 'gitksan', 'dialect', 'skeen', 'mainland', 'ness', 'penutian', 'niska', 'chimmesyan', 'milbank']",0.766
150,indians,300435659,"['indian', 'style', 'culture', 'washington', 'located', 'state', 'native', 'tribe', 'north', 'american', 'tulalip']",0.824
151,indians,300265507,"['resembling', 'spring', 'made', 'area', 'tribe', 'dalles', 'cup', 'word', 'confederated', 'wasco', 'native', 'yakama', 'horn', 'wishram', 'meaning', 'bank', 'indian', 'aspect', 'chinook', 'small']",0.818
152,indians,300256974,"['lake', 'great', 'harvesting', 'rice', 'usage', 'pair', 'short', 'beating', 'wild', 'stick', 'ricing', 'example']",0.654
153,indian,300446958,"['balcony', 'bhadragavākṣa', 'opening', 'indian', 'window', 'architecture', 'bhadragavaksa', 'central', 'offset']",0.68
154,indian,300447394,"['arpita', 'gap', 'attached', 'architecture', 'built', 'adjoining', 'storey', 'different', 'without', 'hāra', 'prāsāda']",0.672
155,indian,300447074,"['indian', 'galapaṭṭī', 'galapatti', 'architecture', 'band', 'recessed', 'antarapaṭṭa']",0.655
156,indian,300446829,"['adhaḥakampa', 'indian', 'kampa', 'architecture', 'fillet', 'lower']",0.7
