,lemma,term,hit_id,bow,cs_rm,cs_wm,cs_rm_wm
6682,burma,burma,300410260.0,"['southeast', 'minority', 'plateau', 'forested', 'people', 'also', 'largest', 'myanmar', 'culture', 'buddhist', 'primarily', 'mountain', 'asian', 'language', 'low', 'live', 'theravada', 'province', 'seamed', 'burmese', 'literature', 'group', 'hill', 'yunnan', 'written', 'broken', 'burma', 'eastern', 'china', 'northwestern', 'tai', 'mass']",0.8473385876349293,0.7500399080220742,0.8673730723680773
6667,burma,burma,300410257.0,"['ethnic', 'myanmar', 'culture', 'part', 'burman', 'northeastern', 'area', 'india', 'burmese', 'group', 'contiguous', 'yunnan', 'nagaland', 'burma', 'arunachal', 'kachin', 'inhabiting', 'pradesh', 'china', 'tribal', 'tibeto']",0.8303461268003438,0.7644880681352503,0.8626583296646927
6679,burma,burma,300410258.0,"['patrilineal', 'local', 'people', 'north', 'similar', 'well', 'myanmar', 'culture', 'coexists', 'adjacent', 'elsewhere', 'buddhism', 'based', 'organized', 'area', 'neighbour', 'province', 'burmese', 'ang', 'group', 'hill', 'yunnan', 'cult', 'region', 'organization', 'burma', 'palaung', 'lineage', 'kachin', 'worship', 'eastern', 'southwestern', 'china', 'type', 'ancestor', 'tribal', 'like', 'various']",0.8254279946326412,0.8066222082340287,0.8776121794725397
6663,burma,burma,300375367.0,"['pakistan', 'southeast', 'specie', 'south', 'tectona', 'component', 'tree', 'three', 'vegetation', 'tropical', 'teak', 'india', 'commonly', 'genus', 'native', 'hardwood', 'asia', 'thailand', 'indonesia', 'burma', 'containing', 'monsoon', 'bangladesh', 'particularly', 'forest']",0.8117592946834127,0.6751315822925618,0.8122856380748124
6685,burma,burma,300266481.0,"['pakistan', 'also', 'style', 'culture', 'western', 'asian', 'existing', 'northeastern', 'afghanistan', 'southwest', 'area', 'india', 'includes', 'east', 'nation', 'extensive', 'asia', 'formerly', 'used', 'term', 'burma', 'africa', 'eastern', 'include', 'middle']",0.8088517454986469,0.7477464778272729,0.8416380426512643
6683,burma,burma,300386148.0,"['kampuchea', 'burma', 'indo', 'current', 'chinese', 'nationality', 'vietnam', 'lao', 'indochinese', 'china', 'nation', 'culture', 'area', 'region', 'cambodia', 'malaysia', 'india', 'thailand']",0.8076198674573787,0.7096974472629121,0.8244861341385009
6672,burma,burma,300019089.0,"['ancient', 'funan', 'people', 'chinese', 'nationality', 'style', 'môn', 'myanmar', 'culture', 'western', 'replacing', 'heavily', 'century', 'considered', 'historical', 'empire', 'shared', 'former', 'buddhism', 'pegu', 'capital', 'civilization', 'theravada', 'dominated', 'burmese', 'indo', 'kingdom', 'southern', 'last', 'art', 'represent', 'talien', 'mon', 'writing', 'talain', 'region', 'pali', 'mun', 'year', 'thailand', 'burma', 'flourished', 'inhabiting', 'talaing', 'eastern', 'moan', 'cambodian', 'influenced', 'origin', 'china', 'sanskrit', 'angkor', 'mwun', 'derogatory', 'tie', 'introducing']",0.8056201059695811,0.831883294266867,0.8757362070211113
6664,burma,burma,300375431.0,"['domesticated', 'cultivated', 'large', 'appears', 'specie', 'pound', 'myanmar', 'tree', 'orange', 'variety', 'century', 'colored', 'size', 'depending', 'tropical', 'others', 'indian', 'greatly', 'brought', 'india', 'widely', 'weighing', 'one', 'state', 'east', 'common', 'sweet', 'assam', 'asia', 'mangifera', 'plum', 'indigenous', 'indica', 'important', 'burma', 'eastern', 'fruit', 'varies', 'mango', 'drupe', 'bce', 'world', 'produce', 'upon']",0.7975032483652116,0.7011258163946912,0.8142950196316694
6670,burma,burma,300107052.0,"['king', 'irrawaddy', 'ethnic', 'stone', 'also', 'myanmar', 'culture', 'monastery', 'wood', 'mindon', 'many', 'empire', 'fall', 'built', 'depicted', 'capital', 'river', 'temple', 'burmese', 'refers', 'imperialist', 'one', 'comprised', 'last', 'art', 'composite', 'identifies', 'influence', 'native', 'region', 'modern', 'british', 'mandalay', 'burma', 'architectural', 'italian', 'structure', 'reflects']",0.7624097018793123,0.8136058271804433,0.8400911464884929
6666,burma,burma,300022012.0,"['lanka', 'conservative', 'even', 'south', 'arhat', 'entering', 'sri', 'unchanged', 'asian', 'century', 'buddhism', 'based', 'religious', 'become', 'buddha', 'cambodia', 'true', 'theravada', 'nearly', 'main', 'attain', 'doctrine', 'relatively', 'southern', 'saint', 'later', 'order', 'canon', 'country', 'impossible', 'anyone', 'since', 'pali', 'ultimate', 'thailand', 'bodhisattva', 'form', 'burma', 'distinction', 'rejection', 'believer', 'tipitaka', 'perfected', 'reached', 'goal', 'lao', 'mahayana', 'consists', 'practiced', 'teaching', 'lay', 'cannot', 'bce', 'interpretation', 'enlightenment']",0.7580775236982875,0.7802679899202661,0.8229710873654563
